measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,1,Number,1990,54413.94406371973,66141.40613799402,43115.55166963061
1,Deaths,1,Global,3,Both,22,All ages,626,Musculoskeletal disorders,2,Percent,1990,0.0011667199343377392,0.0014271724499197436,0.0009319499917361681
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,1,Number,1990,1268052.2586688234,1677592.0894571505,937324.9607641336
1,Deaths,1,Global,3,Both,22,All ages,640,Other non-communicable diseases,2,Percent,1990,0.02718556486125204,0.03627974681083891,0.02023067415927209
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,1,Number,1990,1034118.5886180256,1551483.955014314,638521.2806836255
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,2,Percent,1990,0.022174290806184885,0.033312143888672034,0.013757243882793521
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,1,Number,1990,12068420.501912128,12551668.939562203,11434791.39783723
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,2,Percent,1990,0.2587537075855962,0.2684497818176749,0.2461711619150127
1,Deaths,1,Global,3,Both,22,All ages,386,Nutritional deficiencies,1,Number,1990,757152.4413375445,1010715.6805009285,551920.9026924218
1,Deaths,1,Global,3,Both,22,All ages,386,Nutritional deficiencies,2,Percent,1990,0.01623049244385328,0.021580488835145673,0.011972270431801813
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,1,Number,1990,5755373.149126623,5992159.822652028,5506758.901611175
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,2,Percent,1990,0.1233957535156163,0.1273418451994395,0.1188289040933569
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,1,Number,1990,873338.8838236403,1848823.3813425875,450771.21802389843
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,2,Percent,1990,0.018732449580676862,0.039620547378536215,0.009655420175501698
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,1990,178.10203043999934,212.82965434182557,159.96899560661683
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,2,Percent,1990,3.818921146030343e-06,4.577894804943718e-06,3.405626274401032e-06
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,1,Number,1990,442911.41111815284,589497.3762880346,327511.05152349616
1,Deaths,1,Global,3,Both,22,All ages,955,HIV/AIDS and sexually transmitted infections,2,Percent,1990,0.009495828070122819,0.012727323540474816,0.007029772861053117
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1990,5135020.433601262,5569732.385111053,4752400.388064552
1,Deaths,1,Global,3,Both,22,All ages,956,Respiratory infections and tuberculosis,2,Percent,1990,0.11008881330037258,0.11824317222162983,0.10221457066644885
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,1,Number,1990,3166775.406324639,3901528.990863726,2500759.017371465
1,Deaths,1,Global,3,Both,22,All ages,957,Enteric infections,2,Percent,1990,0.06789017836123876,0.08315715174550707,0.053620677445767345
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,1,Number,1990,2151771.2780423514,3062207.9769127006,1584255.8975909373
1,Deaths,1,Global,3,Both,22,All ages,961,Other infectious diseases,2,Percent,1990,0.046131780677231705,0.06572949994690472,0.033806363432593765
